Number of customers,Response time
1, 44.023399999999995
2, 63.55123184275264
3, 84.54010175635341
4, 106.14962805674594
5, 128.07206521280997
6, 150.19327554628765
7, 172.46362777974747
8, 194.85730002122014
9, 217.35857639502643
10, 239.95655341977135
11, 262.64282994385405
12, 285.4104050189815
13, 308.2531192163688
14, 331.16536077740056
15, 354.14190864662896
16, 377.1778491455049
17, 400.2685331139039
18, 423.40955527868357
19, 446.59674546185227
20, 469.8261655827076
21, 493.09410891388023
22, 516.3970995490674
23, 539.7318909596742
24, 563.0954630909008
25, 586.4850178062446
26, 609.8979727101278
27, 633.3319535088353
28, 656.7847851403702
29, 680.254481934244
30, 703.7392370662162
