Number of customers,Throughput
1, 0.020398421978075777
2, 0.029175259820096777
3, 0.03350454088340515
4, 0.03598752483416188
5, 0.037573625929709274
6, 0.038661468925633
7, 0.039444702486798
8, 0.04002856037357949
9, 0.04047516469079762
10, 0.040823565895228106
11, 0.04109955048042039
12, 0.04132083352597393
13, 0.04149998580228246
14, 0.04164617070487049
15, 0.04176622008978343
16, 0.041865325360362235
17, 0.04194749557627761
18, 0.04194749557627761
19, 0.042072933852896836
20, 0.04212067794422399
21, 0.04216070743296197
22, 0.04219432754617698
23, 0.04222260598600177
24, 0.042246420820579174
25, 0.04226649745537487
26, 0.04228343750330885
27, 0.04229774156155616
28, 0.04230982734675739
29, 0.042320044252965275
30, 0.04232868512287144
